goos: darwin
goarch: arm64
pkg: github.com/pkg/json
cpu: Apple M4 Max
BenchmarkDecoderNextToken/pkgjson/canada-16         	     382	   2994095 ns/op	 751.83 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     404	   2944289 ns/op	 764.55 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     404	   2990728 ns/op	 752.68 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     396	   2982819 ns/op	 754.68 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     393	   2984442 ns/op	 754.26 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/canada-16         	     403	   2959779 ns/op	 760.55 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      46	  25239010 ns/op	  89.19 MB/s	15091240 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      48	  25233338 ns/op	  89.21 MB/s	15091371 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      48	  25757723 ns/op	  87.39 MB/s	15091250 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      48	  25905298 ns/op	  86.90 MB/s	15091245 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      46	  25603840 ns/op	  87.92 MB/s	15091254 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/encodingjson/canada-16    	      46	  25427508 ns/op	  88.53 MB/s	15091248 B/op	  777969 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     888	   1353500 ns/op	1276.10 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     892	   1345937 ns/op	1283.27 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     884	   1374455 ns/op	1256.65 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     883	   1363165 ns/op	1267.05 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     891	   1345353 ns/op	1283.83 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/pkgjson/citm_catalog-16   	     868	   1349758 ns/op	1279.64 MB/s	     136 B/op	       3 allocs/op
BenchmarkDecoderNextToken/encodingjson/citm_catalog-16         	     146	   8158023 ns/op	 211.72 MB/s	 5100723 B/op	  283595 allocs/op
